name,synonymous,stop,nonsynonymous
DNA,4.2669640644700756e-05,6.923251286442656e-06,9.410968261043003e-05
mutDNA-1,0.0001664223539598244,0.00012329925912798754,0.0014697784002184013
mutDNA-2,0.00015715479986467277,0.0001073679822780032,0.0013476860108704678
mutDNA-3,0.0001617508797501684,0.00012450368756079756,0.0014219049040176462
mutvirus-1,0.00024860997693025246,4.765718482216507e-05,0.000985796693971512
mutvirus-2,0.00023968787532340202,4.3312197529874166e-05,0.0009864011394467196
mutvirus-3,0.00024131265225964813,4.619715887042405e-05,0.0009455748386715992
virus-1,0.00014138009000503295,3.048237614227061e-05,0.0003901403992888229
virus-2,0.00013623915678599258,2.9089097440376865e-05,0.0003851007453991783
virus-3,0.00013003711127035898,2.7205689976667734e-05,0.000361998588586229
