DMS ID,Site-Independent,EVmutation,DeepSequence (single),DeepSequence (ensemble),EVE (single),EVE (ensemble),Unirep,Unirep evotuned,MSA Transformer (single),MSA Transformer (ensemble),ESM-1b,ESM-1v (single),ESM-1v (ensemble),ESM2 (8M),ESM2 (35M),ESM2 (150M),ESM2 (650M),ESM2 (3B),ESM2 (15B),Wavenet,RITA S,RITA M,RITA L,RITA XL,Progen2 S,Progen2 M,Progen2 Base,Progen2 L,Progen2 XL,GEMME,VESPA,VESPAl,ProtGPT2,Tranception S no retrieval,Tranception M no retrieval,Tranception L no retrieval,Tranception S,Tranception M,Tranception L,TranceptEVE S,TranceptEVE M,TranceptEVE L,CARP (38M),CARP (600K),CARP (640M),CARP (76M),MIF,MIF-ST,ESM-IF1,ProteinMPNN,ProtSSN (k=10 h=512),ProtSSN (k=10 h=768),ProtSSN (k=10 h=1280),ProtSSN (k=20 h=512),ProtSSN (k=20 h=768),ProtSSN (k=20 h=1280),ProtSSN (k=30 h=512),ProtSSN (k=30 h=768),ProtSSN (k=30 h=1280),ProtSSN (ensemble),SaProt (650M),SaProt (35M),PoET (200M),MULAN_small,Number of Mutants,Selection Type,UniProt ID,MSA_Neff_L_category,Taxon
A0A2Z5U3Z0_9INFA_Doud_2016,0.478,0.473,0.484,0.517,0.545,0.548,0.009,0.492,0.495,0.496,0.124,0.516,0.55,-0.004,0.013,0.064,0.507,0.498,0.501,0.413,0.467,0.534,0.52,0.542,0.433,0.52,0.513,0.494,0.504,0.538,0.49,0.4,0.076,0.47,0.525,0.523,0.518,0.548,0.537,0.557,0.576,0.573,0.006,0,0.339,0.017,0.43,0.487,0.462,0.174,0.489,0.474,0.529,0.522,0.526,0.524,0.535,0.516,0.545,0.537,0.199,0.152,0.545,0.13,10715,OrganismalFitness,A0A2Z5U3Z0_9INFA,Medium,Virus
ENV_HV1BR_Haddox_2016,0.338,0.303,0.322,0.323,0.339,0.345,-0.001,0.322,0.345,0.344,0.298,0.32,0.336,-0.009,-0.006,0.004,0.046,0.069,0.16,0.337,0.35,0.358,0.371,0.364,0.345,0.358,0.358,0.354,0.362,0.35,0.325,0.29,0.189,0.344,0.36,0.358,0.359,0.366,0.362,0.367,0.369,0.365,0.233,-0.013,0.321,0.293,0.212,0.245,0.119,0.072,0.18,0.179,0.203,0.226,0.188,0.202,0.2,0.192,0.193,0.209,0.167,0.098,0.335,0.039,12863,OrganismalFitness,ENV_HV1BR,Medium,Virus
I6TAH8_I68A0_Doud_2015,0.347,0.317,0.268,0.264,0.364,0.361,-0.005,0.297,0.299,0.336,0.013,0.018,0.014,0.018,0.025,0.01,0.02,0.013,0.094,0.212,0.308,0.328,0.374,0.377,0.004,0.011,0.097,0.002,0.302,0.368,0.25,0.253,0.171,0.304,0.332,0.337,0.329,0.354,0.348,0.383,0.399,0.401,0.007,0.02,0.016,0.019,0.209,0.209,0.231,0.1,0.075,0.114,0.126,0.135,0.111,0.106,0.089,0.098,0.067,0.109,0.056,0.018,0.368,0.059,9462,OrganismalFitness,I6TAH8_I68A0,Medium,Virus
Q2N0S5_9HIV1_Haddox_2018,0.493,0.379,0.352,0.393,0.495,0.502,0.003,0.437,0.51,0.515,0.47,0.509,0.537,-0.005,-0.003,-0.002,0.044,0.093,0.168,0.403,0.518,0.403,0.39,0.337,0.517,0.401,0.394,0.436,0.354,0.507,0.478,0.483,0.291,0.494,0.419,0.406,0.52,0.502,0.501,0.526,0.515,0.513,0.413,-0.016,0.502,0.456,0.396,0.463,0.263,0.145,0.226,0.266,0.307,0.301,0.25,0.257,0.26,0.245,0.223,0.28,0.232,0.116,0.489,0.06,12729,OrganismalFitness,Q2N0S5_9HIV1,Medium,Virus
SPIKE_SARS2_Starr_2020_binding,0.158,0.205,0.062,0.151,0.249,0.252,-0.046,0.369,0.356,0.36,-0.002,-0.064,-0.039,-0.049,-0.036,-0.022,-0.018,-0.008,0.038,0.337,0.305,0.368,0.357,0.364,0.384,0.347,0.315,0.378,0.319,0.247,0.324,0.357,0.171,0.338,0.328,0.355,0.334,0.325,0.317,0.356,0.346,0.341,-0.036,-0.013,-0.022,-0.008,0.517,0.483,0.405,0.16,0.224,0.241,0.226,0.297,0.251,0.301,0.258,0.279,0.228,0.279,0.357,0.159,0.315,0.135,3802,Binding,SPIKE_SARS2,Medium,Virus
SPIKE_SARS2_Starr_2020_expression,0.2,0.314,0.165,0.279,0.445,0.45,-0.016,0.352,0.413,0.446,0.05,-0.023,0.004,-0.026,0.001,0.01,0.012,0.018,0.072,0.355,0.317,0.382,0.374,0.387,0.379,0.367,0.322,0.397,0.328,0.359,0.313,0.346,0.178,0.344,0.346,0.383,0.361,0.361,0.367,0.451,0.455,0.475,0.005,0.022,0.024,0.041,0.561,0.533,0.465,0.187,0.321,0.354,0.33,0.422,0.379,0.413,0.384,0.392,0.363,0.405,0.498,0.266,0.498,0.25,3798,Expression,SPIKE_SARS2,Medium,Virus
